event_id,timestamp,camera_id,track_id,violation_type,severity,confidence,duration_sec,zone_id,bbox_person,bbox_ppe,snapshot_path,clip_path
1770245535_cam_1_28_NO_HELMET,1770245535.572402,cam_1,28,NO_HELMET,MEDIUM,0.5205579996109009,2.6344239711761475,,"(687.3450927734375, 57.002010345458984, 763.4795532226562, 133.19949340820312)",None,output\snapshots\1770245535_cam_1_28_NO_HELMET.jpg,output\clips\1770245535_cam_1_28_NO_HELMET.mp4
1770245535_cam_1_28_NO_VEST,1770245535.6414516,cam_1,28,NO_VEST,MEDIUM,0.5205579996109009,2.6344239711761475,,"(687.3450927734375, 57.002010345458984, 763.4795532226562, 133.19949340820312)",None,output\snapshots\1770245535_cam_1_28_NO_VEST.jpg,output\clips\1770245535_cam_1_28_NO_VEST.mp4
1770245536_cam_1_22_NO_HELMET,1770245536.400107,cam_1,22,NO_HELMET,MEDIUM,0.5884180068969727,12.181202173233032,,"(724.816162109375, 48.06791687011719, 798.3775024414062, 183.54359436035156)",None,output\snapshots\1770245536_cam_1_22_NO_HELMET.jpg,output\clips\1770245536_cam_1_22_NO_HELMET.mp4
1770245536_cam_1_22_NO_VEST,1770245536.4691317,cam_1,22,NO_VEST,MEDIUM,0.5884180068969727,12.181202173233032,,"(724.816162109375, 48.06791687011719, 798.3775024414062, 183.54359436035156)",None,output\snapshots\1770245536_cam_1_22_NO_VEST.jpg,output\clips\1770245536_cam_1_22_NO_VEST.mp4
1770245538_cam_1_29_NO_HELMET,1770245538.9742975,cam_1,29,NO_HELMET,MEDIUM,0.7492107152938843,2.074772357940674,,"(735.8728637695312, 54.64780044555664, 812.20556640625, 182.76361083984375)",None,output\snapshots\1770245538_cam_1_29_NO_HELMET.jpg,output\clips\1770245538_cam_1_29_NO_HELMET.mp4
1770245539_cam_1_29_NO_VEST,1770245539.0478177,cam_1,29,NO_VEST,MEDIUM,0.7492107152938843,2.074772357940674,,"(735.8728637695312, 54.64780044555664, 812.20556640625, 182.76361083984375)",None,output\snapshots\1770245539_cam_1_29_NO_VEST.jpg,output\clips\1770245539_cam_1_29_NO_VEST.mp4
1770245539_cam_1_23_IN_DANGER_ZONE,1770245539.2710376,cam_1,23,IN_DANGER_ZONE,HIGH,0.4029269218444824,11.487669944763184,zone_1,"(157.66297912597656, 189.10604858398438, 273.6658935546875, 409.4501647949219)",None,output\snapshots\1770245539_cam_1_23_IN_DANGER_ZONE.jpg,output\clips\1770245539_cam_1_23_IN_DANGER_ZONE.mp4
1770245540_cam_1_23_NO_HELMET,1770245540.0601604,cam_1,23,NO_HELMET,MEDIUM,0.5891526937484741,12.478620052337646,zone_1,"(155.57398986816406, 171.15811157226562, 274.3487854003906, 410.0741271972656)",None,output\snapshots\1770245540_cam_1_23_NO_HELMET.jpg,output\clips\1770245540_cam_1_23_NO_HELMET.mp4
1770245540_cam_1_23_NO_VEST,1770245540.1287284,cam_1,23,NO_VEST,MEDIUM,0.5891526937484741,12.478620052337646,zone_1,"(155.57398986816406, 171.15811157226562, 274.3487854003906, 410.0741271972656)",None,output\snapshots\1770245540_cam_1_23_NO_VEST.jpg,output\clips\1770245540_cam_1_23_NO_VEST.mp4
1770245543_cam_1_30_NO_HELMET,1770245543.56657,cam_1,30,NO_HELMET,MEDIUM,0.3541010320186615,2.144310235977173,,"(682.9620361328125, 133.14064025878906, 853.6089477539062, 353.948486328125)",None,output\snapshots\1770245543_cam_1_30_NO_HELMET.jpg,output\clips\1770245543_cam_1_30_NO_HELMET.mp4
